id,tenantId,inventoryItemId,url,width,height,contentType,bytes,exifRemoved,capturedAt,createdAt,publicUrl,signedUrl,position,alt,caption,variant_id
pid-tid-8622qs2t-sid-ymjoonlw-p967nw,tid-8622qs2t,sid-ymjoonlw,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-wuxyaovy/original-1766112580310.jpg,,,,,f,,2026-03-26 01:23:49.883+00,,,0,,,
pid-tid-mrsyk3w6-sid-9pbnp3ee-8yy4y1,tid-mrsyk3w6,sid-9pbnp3ee,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,1024,1024,image/png,144492,f,,2026-03-26 01:23:51.625+00,,,0,Product image,AI-generated product image,
pid-tid-veid875z-sid-hwuhfvbq-0p3ivh,tid-veid875z,sid-hwuhfvbq,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,1024,1024,image/png,144492,f,,2026-03-26 01:23:53.359+00,,,0,Product image,AI-generated product image,
pid-tid-a3813d7i-sid-qeb81r73-l3ppxd,tid-a3813d7i,sid-qeb81r73,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,1024,1024,image/png,144492,f,,2026-03-26 01:23:55.712+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-u3g8lcrm-c6m2gl,tenant-1774885228681,sid-u3g8lcrm,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-bklucmod/original-1766436736926.jpg,1024,1024,image/png,169288,f,,2026-03-30 16:26:43.168+00,,,0,Product image,AI-generated product image,
pid-tid-8622qs2t-sid-3888klfr-zsp69d,tid-8622qs2t,sid-3888klfr,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,1024,1024,image/png,144492,f,,2026-03-26 01:23:57.445+00,,,0,Product image,AI-generated product image,
pid-tid-mrsyk3w6-sid-da0mqmdy-i30u1c,tid-mrsyk3w6,sid-da0mqmdy,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,1024,1024,image/png,177201,f,,2026-03-26 01:23:59.19+00,,,0,Product image,AI-generated product image,
pid-tid-veid875z-sid-ljh42o3f-t3s2iu,tid-veid875z,sid-ljh42o3f,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,1024,1024,image/png,177201,f,,2026-03-26 01:24:00.928+00,,,0,Product image,AI-generated product image,
pid-tid-a3813d7i-sid-q0gwh397-08092e,tid-a3813d7i,sid-q0gwh397,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,1024,1024,image/png,177201,f,,2026-03-26 01:24:03.301+00,,,0,Product image,AI-generated product image,
pid-tid-8622qs2t-sid-8qpt8htm-l50rus,tid-8622qs2t,sid-8qpt8htm,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,1024,1024,image/png,177201,f,,2026-03-26 01:24:05.103+00,,,0,Product image,AI-generated product image,
pid-tid-mrsyk3w6-sid-edl2y5sw-rgentv,tid-mrsyk3w6,sid-edl2y5sw,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-4i3xryel/original-1766112556911.jpg,,,,,f,,2026-03-26 01:24:06.852+00,,,0,,,
pid-tid-veid875z-sid-gl9jzrw3-yiekin,tid-veid875z,sid-gl9jzrw3,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-4i3xryel/original-1766112556911.jpg,,,,,f,,2026-03-26 01:24:08.941+00,,,0,,,
pid-tid-a3813d7i-sid-depiyye5-ewuz2j,tid-a3813d7i,sid-depiyye5,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-4i3xryel/original-1766112556911.jpg,,,,,f,,2026-03-26 01:24:11.762+00,,,0,,,
pid-tid-8622qs2t-sid-k4baxg7o-ny60l1,tid-8622qs2t,sid-k4baxg7o,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-4i3xryel/original-1766112556911.jpg,,,,,f,,2026-03-26 01:24:13.872+00,,,0,,,
pid-tid-mrsyk3w6-sid-m0o2hhox-q9runv,tid-mrsyk3w6,sid-m0o2hhox,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-pcjwag8v/original-1766530741713.jpg,1024,1024,image/png,111993,f,,2026-03-26 01:24:16.057+00,,,0,Product image,AI-generated product image,
pid-tid-veid875z-sid-578n6ep7-278rld,tid-veid875z,sid-578n6ep7,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-pcjwag8v/original-1766530741713.jpg,1024,1024,image/png,111993,f,,2026-03-26 01:24:18.145+00,,,0,Product image,AI-generated product image,
pid-tid-a3813d7i-sid-6su2jn8o-3ukjhv,tid-a3813d7i,sid-6su2jn8o,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-pcjwag8v/original-1766530741713.jpg,1024,1024,image/png,111993,f,,2026-03-26 01:24:20.929+00,,,0,Product image,AI-generated product image,
pid-tid-8622qs2t-sid-tkd9br9j-okxcx6,tid-8622qs2t,sid-tkd9br9j,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-pcjwag8v/original-1766530741713.jpg,1024,1024,image/png,111993,f,,2026-03-26 01:24:23.016+00,,,0,Product image,AI-generated product image,
pid-tid-mrsyk3w6-sid-ebsnbhee-bth20s,tid-mrsyk3w6,sid-ebsnbhee,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-dskuajco/original-1765116053899.jpg,,,,,f,,2026-03-26 01:24:31.024+00,,,0,,,
pid-tid-veid875z-sid-2qh7xez3-0ryc2x,tid-veid875z,sid-2qh7xez3,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-dskuajco/original-1765116053899.jpg,,,,,f,,2026-03-26 01:24:32.757+00,,,0,,,
pid-tid-a3813d7i-sid-tz6iebke-7zrc8o,tid-a3813d7i,sid-tz6iebke,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-dskuajco/original-1765116053899.jpg,,,,,f,,2026-03-26 01:24:35.182+00,,,0,,,
pid-tid-8622qs2t-sid-qjn4pmcr-ptrz0n,tid-8622qs2t,sid-qjn4pmcr,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-dskuajco/original-1765116053899.jpg,,,,,f,,2026-03-26 01:24:36.924+00,,,0,,,
pid-tid-mrsyk3w6-sid-ydt5zeip-yhguyc,tid-mrsyk3w6,sid-ydt5zeip,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg,,,,,f,,2026-03-26 01:24:38.66+00,,,0,,,
pid-tid-veid875z-sid-jl38g2ld-c7hqcq,tid-veid875z,sid-jl38g2ld,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg,,,,,f,,2026-03-26 01:24:40.395+00,,,0,,,
pid-tid-a3813d7i-sid-0woi9ksv-jg8fy0,tid-a3813d7i,sid-0woi9ksv,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg,,,,,f,,2026-03-26 01:24:42.75+00,,,0,,,
pid-tid-8622qs2t-sid-kfnc40ev-kdixau,tid-8622qs2t,sid-kfnc40ev,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-oa5elf7k/original-1765116104166.jpg,,,,,f,,2026-03-26 01:24:44.545+00,,,0,,,
pid-tid-mrsyk3w6-sid-7eky6s77-sjuidp,tid-mrsyk3w6,sid-7eky6s77,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,,,,,f,,2026-03-26 01:24:53.902+00,,,0,,,
pid-tid-veid875z-sid-e0gnfuuj-k6tyzv,tid-veid875z,sid-e0gnfuuj,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,,,,,f,,2026-03-26 01:24:55.983+00,,,0,,,
pid-tid-a3813d7i-sid-3e5fjaah-oa0g3f,tid-a3813d7i,sid-3e5fjaah,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,,,,,f,,2026-03-26 01:24:58.683+00,,,0,,,
pid-tid-8622qs2t-sid-580mdyhv-wlk5kw,tid-8622qs2t,sid-580mdyhv,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-mxfzzffk/original-1766112543180.jpg,,,,,f,,2026-03-26 01:25:00.773+00,,,0,,,
pid-tid-mrsyk3w6-sid-sucsijii-gjm1k8,tid-mrsyk3w6,sid-sucsijii,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-4thay43d/original-1765232859130.jpg,,,,,f,,2026-03-26 01:25:02.517+00,,,0,,,
pid-tid-veid875z-sid-er0kwf2z-l4lqso,tid-veid875z,sid-er0kwf2z,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-4thay43d/original-1765232859130.jpg,,,,,f,,2026-03-26 01:25:04.259+00,,,0,,,
pid-tid-a3813d7i-sid-nlh9b3hc-xyf08k,tid-a3813d7i,sid-nlh9b3hc,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-4thay43d/original-1765232859130.jpg,,,,,f,,2026-03-26 01:25:06.685+00,,,0,,,
pid-tid-8622qs2t-sid-ktrl9y7m-w9ikqu,tid-8622qs2t,sid-ktrl9y7m,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-m11e6ur7/products/i-4thay43d/original-1765232859130.jpg,,,,,f,,2026-03-26 01:25:08.428+00,,,0,,,
pid-tid-mrsyk3w6-sid-hud59b7s-u2wjla,tid-mrsyk3w6,sid-hud59b7s,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg,,,,,f,,2026-03-26 01:25:10.161+00,,,0,,,
pid-tid-veid875z-sid-16bnzkog-rlalx8,tid-veid875z,sid-16bnzkog,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg,,,,,f,,2026-03-26 01:25:11.892+00,,,0,,,
pid-tid-a3813d7i-sid-zsy1d7nf-unb6fe,tid-a3813d7i,sid-zsy1d7nf,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg,,,,,f,,2026-03-26 01:25:14.253+00,,,0,,,
pid-tid-8622qs2t-sid-7xsn12ae-o341x9,tid-8622qs2t,sid-7xsn12ae,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg,,,,,f,,2026-03-26 01:25:16.062+00,,,0,,,
pid-tenant-1774885228681-sid-dhhmwfr0-7e6su3,tenant-1774885228681,sid-dhhmwfr0,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-wip35pnr/original-1765116071527.jpg,,,,,f,,2026-03-30 16:26:47.321+00,,,0,,,
pid-tenant-1774885228681-sid-xx7l6n3m-h34aww,tenant-1774885228681,sid-xx7l6n3m,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/chain_location_1766071991129_0/products/sid-wuxyaovy/original-1766112580310.jpg,,,,,f,,2026-03-30 16:26:49.7+00,,,0,,,
pid-tenant-1774885228681-sid-kfkosztj-wqss5u,tenant-1774885228681,sid-kfkosztj,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-lug2msna/original-1766436716307.jpg,1024,1024,image/png,144492,f,,2026-03-30 16:26:51.774+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-sdwbzvke-s0g0hz,tenant-1774885228681,sid-sdwbzvke,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-m3yv1i2f/original-1766436679322.jpg,1024,1024,image/png,177201,f,,2026-03-30 16:26:53.99+00,,,0,Product image,AI-generated product image,
pid-tenant-1774885228681-sid-8aydk5t8-eweidg,tenant-1774885228681,sid-8aydk5t8,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-v84j50g0/products/i-6la5jgvm/original-1765116087133.jpg,,,,,f,,2026-03-30 16:26:58.196+00,,,0,,,
pha-ZJ5LXCOK,tid-zcp9a56y,sid-hmgqmgpn,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/t-ccu0mh28/products/sid-lm1jpw23/original-1765714753660.jpg,,,,,f,,2026-04-02 07:22:28.794+00,,,0,,,
pid-QNSJZHUH,tid-042hi7ju,sid-xeabktla,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-042hi7ju/R4KG-PHYS-SHIP-PUBL-3ZF6/1774603020403.png,,,image/png,128448,t,,2026-03-27 09:17:00.924+00,,,0,,,
pha-1G38C4VR,tid-zcp9a56y,sid-czxkkwyc,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-c2r2kf8v/products/sid-5ms4g1ui/original-1766438615929.jpg,,,,,f,,2026-04-02 07:22:29.519+00,,,0,,,
pid-tid-042hi7ju-sid-zf6q7t5e-2yseoa,tid-042hi7ju,sid-zf6q7t5e,https://nbwsiobosqawrugnqddo.supabase.co/storage/v1/object/public/photos/tid-r6cccpag/products/sid-05kwmoez/original-1766436751061.jpg,1024,1024,image/png,106133,f,,2026-03-26 01:33:06.149+00,,,0,Product image,AI-generated product image,
