id,label,href,icon,badge,badge_variant,targets,sort_order,is_enabled,is_divider_before,required_permission,required_group,required_role,created_at,updated_at,created_by,metadata
custom-1776198257483,Tier Management,/settings/admin/tier-system,"","",default,{admin},34,t,f,"","","",2026-04-14 20:27:12.197+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776198129531"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776198288518,Tenant Subscription,/settings/admin/tiers,"","",default,{admin},35,t,f,"",IS_PLATFORM_ADMIN,"",2026-04-14 20:27:12.322+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776198129531"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776198357982,Billing Dashboard,/settings/admin/billing,"","",default,{admin},36,t,f,"","","",2026-04-14 20:27:12.448+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776198129531"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776198422761,Manual Billing,/settings/admin/billing/manual-billing,"","",default,{admin},37,t,f,"","","",2026-04-14 20:27:12.574+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776198129531"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274655551,My Integrations,"",globe,"",default,{tenant},14,t,f,"",IS_TENANT_ADMIN,"",2026-04-15 17:41:17.25+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776269325121,Fulfillment Options,/t/${tenantId}/settings/fulfillment,"","",default,{tenant},40,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 16:08:58.064+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776269092634"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274165052,Branding,/t/${tenantId}/settings/branding,"","",default,{tenant},47,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:36:24.484+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777434333697"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274210909,Store Hours,/t/${tenantId}/settings/hours,"","",default,{tenant},48,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:36:24.552+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777434333697"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274255745,Business Category,/t/${tenantId}/settings/gbp-category,"","",default,{tenant},49,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:36:24.621+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777434333697"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274314693,Location Status,/t/${tenantId}/settings/location-status,"","",default,{tenant},50,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:36:24.69+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1777434333697"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274723895,Google Merchant Center,/t/${tenantId}/settings/integrations/google,globe,"",default,{tenant},51,t,f,"",IS_TENANT_ADMIN,"",2026-04-15 17:41:17.317+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776274655551"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274770025,Feed Validation,/t/${tenantId}/feed-validation,globe,"",default,{tenant},52,t,f,"",IS_TENANT_USER,"",2026-04-15 17:41:17.384+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776274655551"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
custom-1776274816714,Clover POS,/t/${tenantId}/settings/integrations/clover,credit-card,"",default,{tenant},53,t,f,"",IS_TENANT_MANAGER,"",2026-04-15 17:41:17.476+00,2026-05-05 04:37:15.50411+00,uid-li9gr,"{""parentKey"": ""custom-1776274655551"", ""hasChildren"": false, ""childrenKeys"": [], ""nestingLevel"": 0, ""dynamicTemplate"": ""none""}"
